datelabel,beat,CrimeType,Incidents,Latitude,Longitude
11/13/2014,L3,Autotheft,8,47.68085475,-122.2770349
11/13/2014,N1,Autotheft,8,47.72268665,-122.34046
11/13/2014,F1,Burglary,8,47.54835231,-122.3548642
11/13/2014,W2,Autotheft,8,47.56070534,-122.3869494
11/13/2014,D2,Burglary,8,47.62565397,-122.3313709
11/13/2014,D2,Autotheft,8,47.62565397,-122.3313709
12/13/2014,C1,Burglary,8,47.63424905,-122.3156873
12/13/2014,C1,Burglary,8,47.63424905,-122.3156873
12/13/2014,L1,Burglary,8,47.7265467,-122.3026333
12/13/2014,L2,Burglary,8,47.70955732,-122.3036621
12/13/2014,N1,Burglary,8,47.72268665,-122.34046
12/13/2014,L1,Burglary,8,47.7265467,-122.3026333
12/13/2014,L1,Autotheft,8,47.7265467,-122.3026333
12/13/2014,U2,Autotheft,8,47.65855295,-122.3065966
12/13/2014,O1,Burglary,8,47.58228464,-122.3118019
12/13/2014,S1,Burglary,8,47.54393199,-122.2864787
12/13/2014,R3,Burglary,8,47.55279355,-122.2682133
12/13/2014,O2,Autotheft,8,47.56568576,-122.3309437
12/13/2014,S3,Robbery,8,47.50935216,-122.2595453
12/13/2014,F1,Autotheft,8,47.54835231,-122.3548642
10/13/2014,C2,Burglary,9,47.61923678,-122.3135591
10/13/2014,G1,Burglary,9,47.60913583,-122.3079013
10/13/2014,B2,Autotheft,9,47.67905116,-122.39175
10/13/2014,B3,Autotheft,9,47.68129096,-122.3642373
10/13/2014,R3,Autotheft,9,47.55279355,-122.2682133
10/13/2014,K2,Autotheft,9,47.59989128,-122.3268156
11/13/2014,G2,Burglary,9,47.59589351,-122.3066351
